"park_sys_id","park_sys_type","num_vehicles","time"
"psres_1","residential",1212,"14:00"
"psres_2","residential",1134,"14:00"
"psres_3","residential",1137,"14:00"
"psres_4","residential",1392,"14:00"
"psres_5","residential",1126,"14:00"
"psres_6","residential",918,"14:00"
"psres_7","residential",1105,"14:00"
"psres_8","residential",932,"14:00"
"psres_9","residential",1031,"14:00"
"psres_10","residential",916,"14:00"
"psres_11","residential",1332,"14:00"
"psres_12","residential",1062,"14:00"
"psres_13","residential",933,"14:00"
"psres_14","residential",1048,"14:00"
"psres_15","residential",944,"14:00"
"psres_16","residential",829,"14:00"
"psres_17","residential",1161,"14:00"
"psres_18","residential",1027,"14:00"
"psres_19","residential",1319,"14:00"
"psres_20","residential",1101,"14:00"
"psres_21","residential",1130,"14:00"
"psres_22","residential",1439,"14:00"
"psres_23","residential",987,"14,00"
"psres_24",NA,1438,"14:00"
"psres_25","residential",1061,"14:00"
"psres_26","residential",1221,"14:00"
"psres_27","residential",1031,"14:00"
"psres_28","residential",1128,"14:00"
"psres_29","residential",1430,"14:00"
"psres_30","residential",1176,"14:00"
"psres_31","residential",1342,"14:00"
"psres_32","residential",1019,"14:00"
"psres_33","residential",1426,"14:00"
"psres_34","residential",895,"14:00"
"psres_35","residential",1227,"14:00"
"psres_36","residential",1100,"14:00"
"psres_37","residential",1001,"14:00"
"psres_38","residential",1112,"14:00"
"psres_39","residential",1296,"14:00"
"psres_40","residential",1095,"14:00"
"psres_41","residential",1279,"14:00"
"psres_42","residential",1237,"14:00"
"psres_43","residential",1196,"14:00"
"psres_44","residential",927,"14:00"
"psres_45","residential",1476,"14:00"
"psres_46","residential",924,"14:00"
"psres_47","residential",1309,"14:00"
"psres_48","residential",1444,"14:00"
"psres_49","residential",1253,"14:00"
"psres_50","residential",1407,"14:00"
"pscom_1","commercial",2376,"14:00"
"pscom_2","commercial",2542,"14:00"
"pscom_3","commercial",2525,"14:00"
"pscom_4","commercial",2215,"14:00"
"pscom_5","commercial",2524,"14:00"
"pscom_6","commercial",NA,"14:00"
"pscom_7","commercial",2902,"14:00"
"pscom_8","commercial",2231,"14:00"
"pscom_9","commercial",2319,"14:00"
"pscom_10","commercial",2465,"14:00"
"pscom_11","commercial",2141,"14:00"
"pscom_12","commercial",2255,"14:00"
"pscom_13","commercial",2900,"14:00"
"pscom_14","commercial",2253,"14:00"
"pscom_15","commercial",2192,"14:00"
"pscom_16","commercial",2607,"14:00"
"pscom_17","commercial",2931,"14:00"
"pscom_18","commercial",2731,"14:00"
"pscom_19","commercial",2850,"14:00"
"pscom_20","commercial",2132,"14:00"
"pscom_21","commercial",2868,"14:00"
"pscom_22","commercial",2053,"14:00"
"pscom_23","commercial",2767,"14:00"
"pscom_24","commercial",2198,"14:00"
"pscom_25","commercial",2363,"14:00"
